frame_idx,pc_prob_0,pc_prob_1,pc_prob_2,mcu_prob_0,mcu_prob_1,mcu_prob_2,abs_err_0,abs_err_1,abs_err_2,frame_max_abs_err,pc_pred_id,pc_pred_label,mcu_pred_id,mcu_pred_label,pred_match
0,0.0016961420187726,0.0001962003443622,0.9981076717376708,0.0016961421351879,0.0001962003589142,0.9981076717376708,1.1641532182693479e-10,1.4551915228366852e-11,0.0,1.1641532182693479e-10,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
1,0.0158995110541582,0.784005343914032,0.2000951319932937,0.0158995017409324,0.7840052843093872,0.2000951617956161,9.313225746154784e-09,5.960464477539064e-08,2.9802322387695312e-08,5.960464477539064e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
2,0.0158995110541582,0.784005343914032,0.2000951319932937,0.0158995017409324,0.7840052843093872,0.2000951617956161,9.313225746154784e-09,5.960464477539064e-08,2.9802322387695312e-08,5.960464477539064e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
3,0.0158995110541582,0.784005343914032,0.2000951319932937,0.0158995017409324,0.7840052843093872,0.2000951617956161,9.313225746154784e-09,5.960464477539064e-08,2.9802322387695312e-08,5.960464477539064e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
4,0.0158995110541582,0.784005343914032,0.2000951319932937,0.0158995017409324,0.7840052843093872,0.2000951617956161,9.313225746154784e-09,5.960464477539064e-08,2.9802322387695312e-08,5.960464477539064e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
5,0.0158995110541582,0.784005343914032,0.2000951319932937,0.0158995017409324,0.7840052843093872,0.2000951617956161,9.313225746154784e-09,5.960464477539064e-08,2.9802322387695312e-08,5.960464477539064e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
6,0.0158995110541582,0.784005343914032,0.2000951319932937,0.0158995017409324,0.7840052843093872,0.2000951617956161,9.313225746154784e-09,5.960464477539064e-08,2.9802322387695312e-08,5.960464477539064e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
7,0.0026823028456419,0.0041019199416041,0.9932158589363098,0.0026823000516742,0.0041019176132977,0.9932157397270204,2.7939677238464355e-09,2.3283064365386963e-09,1.1920928955078125e-07,1.1920928955078125e-07,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
8,0.0158995110541582,0.784005343914032,0.2000951319932937,0.0158995017409324,0.7840052843093872,0.2000951617956161,9.313225746154784e-09,5.960464477539064e-08,2.9802322387695312e-08,5.960464477539064e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
9,0.0158995110541582,0.784005343914032,0.2000951319932937,0.0158995017409324,0.7840052843093872,0.2000951617956161,9.313225746154784e-09,5.960464477539064e-08,2.9802322387695312e-08,5.960464477539064e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
