accuracy,f1,macro_f1,macro_precision,macro_recall,precision,recall,scope,support
0.926829268292683,,0.9253539253539254,0.9315789473684211,0.920875420875421,,,overall,41
,1.0,,,,1.0,1.0,GOOD,12
,0.8571428571428571,,,,0.9,0.8181818181818182,BAD,11
,0.918918918918919,,,,0.8947368421052632,0.9444444444444444,UNCERTAIN,18
